2026-03-17 10:45:31.368753 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=E2j7KbvwEQE
2026-03-17 10:45:51.089426 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=Hrs-7C0d8HI
2026-03-17 10:46:09.678835 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=Pq6v5IZHwJc
2026-03-18 12:36:04.653160 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=oIR4Fa37_ak
2026-03-18 12:36:33.576325 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=og3OjEDr_d4
2026-03-18 12:36:50.048651 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=3FU0Hn2RA0M
2026-03-19 12:45:21.846590 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=Z8JT9F0kz20
2026-03-19 12:45:38.292613 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=9Rz1FGq8H2Y
2026-03-19 12:45:50.373605 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=Xxj_NT_1Zyo
2026-03-19 15:02:27.884694 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=L0pkHJkJ9ro
2026-03-19 15:02:37.933140 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=gdDH8RgwP8E
2026-03-19 15:02:45.972919 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=feTBKBbim3o
2026-03-21 21:33:57.214965 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=kRLo2eMNch0
2026-03-21 21:34:02.581938 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=2B-XBr6oe04
2026-03-21 21:34:09.406505 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=ZIsvorxZWD8
2026-03-21 21:44:01.068854 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=btqeucitbo8
2026-03-21 21:44:03.610256 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=sK5ZWit4pD8
2026-03-21 21:44:06.267766 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=Y2A8yI1TIy8
2026-04-01 16:46:56.179010 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=ccICL_0HqLE
2026-04-01 16:47:01.038262 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=VOyKzY4Wehs
2026-04-01 16:47:04.598702 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=AzFhJKfNp-Q
2026-04-08 10:16:39.055137 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=MVs6CO9H3F0
2026-04-08 10:16:41.928289 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=Q23cmoKxUrE
2026-04-08 10:16:44.647835 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=1PZBba94Tck
2026-04-09 12:19:49.741761 | videos\short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=n46vCetKn2Y
2026-04-09 12:19:53.000737 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=_zzGi9zjiF8
2026-04-09 12:19:56.354368 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=yQtPFQ6G2ZY
2026-04-12 20:09:18.601969 | videos\exp_short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=JL9awXGqIpA
2026-04-12 20:09:28.045812 | videos\exp_short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=GKJ5UYAMyO0
2026-04-12 20:09:41.049142 | videos\exp_short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=b2FXq4K_S2I
2026-04-12 20:10:17.546953 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=fnCzgzc6qgE
2026-04-12 20:10:52.304861 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=o0SDLeMvHE4
2026-04-13 12:35:32.633516 | videos\exp_short1.mp4 | SUCCESS | https://www.youtube.com/watch?v=BuMn-SG_P5w
2026-04-13 12:35:37.555702 | videos\exp_short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=eAd1TPTsz2M
2026-04-13 12:35:42.326095 | videos\exp_short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=zBsfiPD8D2E
2026-04-13 12:35:44.564109 | videos\short2.mp4 | SUCCESS | https://www.youtube.com/watch?v=paWhUuCCibU
2026-04-13 12:35:47.215492 | videos\short3.mp4 | SUCCESS | https://www.youtube.com/watch?v=fTamvefhqOs
